person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status,person_gender_female,person_gender_male,person_education_Associate,person_education_Bachelor,person_education_High School,person_education_Master,person_education_Other,person_home_ownership_MORTGAGE,person_home_ownership_OWN,person_home_ownership_Other,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_No,previous_loan_defaults_on_file_Yes
22,20405,0,2000,12,0,3,590,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
22,20896,0,2000,10,0,2,596,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
22,22107,4,2250,15,0,3,636,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
22,21790,0,1000,11,0,2,686,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
22,22616,0,2000,11,0,3,567,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
21,22673,0,2500,11,0,3,670,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
24,22608,2,1200,11,0,4,615,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
23,90025,0,22000,10,0,3,640,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
24,93232,2,22000,9,0,2,625,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
26,93314,8,22000,6,0,3,643,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
24,97038,0,22000,11,0,4,653,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
26,100246,1,22000,12,0,2,623,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
23,101575,1,22000,11,0,4,586,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
23,120500,3,22000,7,0,4,646,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
23,133195,1,22000,11,0,3,643,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
22,99087,0,21600,13,0,3,597,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
22,24092,0,2400,10,0,3,654,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
24,135365,1,21600,7,0,2,556,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
24,140396,4,21500,15,0,3,572,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
25,24121,1,1000,11,0,3,612,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
22,85496,1,21000,13,0,4,614,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
22,90944,0,21000,10,0,3,523,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
24,95767,2,21000,7,0,2,640,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
23,96788,1,21000,11,0,3,648,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
24,101708,2,21000,10,0,4,593,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
26,103023,4,21000,13,0,3,658,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
22,113027,2,21000,9,0,3,701,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
26,117668,0,21000,7,0,3,711,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
26,117297,4,21000,11,0,3,570,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
26,150692,7,21000,8,0,2,534,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
25,151100,2,21000,12,0,3,577,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
23,99197,1,20900,12,0,2,638,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
23,84845,0,20500,13,0,3,641,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
22,24872,0,2100,8,0,4,630,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
23,24766,0,5000,11,0,4,649,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
23,25168,0,6400,10,0,4,638,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
26,25012,3,4800,5,0,3,682,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
25,25295,3,5650,15,0,2,637,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
23,24930,0,3625,11,0,3,662,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
23,25141,0,1200,7,0,3,700,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
22,24521,0,7500,5,0,4,612,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
25,25654,6,4000,5,0,2,725,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
22,25229,1,5000,14,0,3,604,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
26,24569,4,1500,7,0,3,570,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
23,24853,0,7125,6,0,2,631,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
23,24853,0,2500,16,0,2,524,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
26,24751,2,3600,11,0,2,669,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
21,25666,0,3550,11,0,4,693,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
26,25229,3,7000,8,0,2,626,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
24,25451,3,7750,6,0,3,594,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
22,25537,0,6000,15,0,4,623,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
24,25526,1,5500,10,0,4,661,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
21,25416,1,1275,15,0,3,626,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
21,25710,0,2400,11,0,4,623,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
22,25644,2,3800,11,0,3,645,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
24,25992,3,5000,16,0,3,612,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
25,26133,4,5375,13,0,2,650,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
22,81282,1,20000,12,0,2,639,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
23,81580,1,20000,11,0,2,607,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,81639,4,20000,13,0,2,681,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
26,82432,6,20000,10,0,4,710,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
25,82737,4,20000,12,0,4,634,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
23,84428,1,20000,17,0,2,707,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
25,85061,1,20000,9,0,2,627,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
22,84791,0,20000,6,0,4,592,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
25,86325,2,20000,14,0,2,566,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
22,26244,0,3000,11,0,3,667,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
23,86183,1,20000,14,0,3,638,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
24,87261,1,20000,11,0,2,667,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,25826,4,6000,12,0,2,655,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
24,87458,3,20000,14,0,3,604,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
24,89922,0,20000,12,0,3,672,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
25,91179,0,20000,11,0,4,658,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
25,26559,2,8500,9,0,4,686,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
24,91001,0,20000,8,0,3,687,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
26,90978,3,20000,6,0,4,652,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
26,90805,4,20000,11,0,3,603,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
25,91130,0,20000,10,0,3,622,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
22,91033,1,20000,11,0,2,572,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
21,26887,0,7575,11,0,3,641,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
26,26792,4,5200,12,0,3,674,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
23,91541,4,20000,16,0,3,628,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
23,92304,0,20000,10,0,3,635,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
22,93127,2,20000,13,0,4,619,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
21,26946,0,7125,6,0,3,653,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
22,26711,0,4025,5,0,4,565,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
24,26769,2,8000,5,0,2,613,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
26,94812,4,20000,13,0,4,663,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
22,27119,0,4000,12,0,2,540,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
26,27046,5,4200,9,0,3,598,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
22,26902,4,1400,11,0,2,653,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
21,27072,0,3800,5,0,2,643,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23,94310,0,20000,11,0,3,578,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
23,95354,2,20000,13,0,4,642,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
23,96236,0,20000,16,0,4,688,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
23,96969,2,20000,7,0,4,696,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
23,27201,0,6000,12,0,4,527,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
24,97157,0,20000,13,0,4,545,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
25,96773,3,20000,8,0,4,644,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
23,26954,0,2000,6,0,4,511,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
22,96673,1,20000,13,0,4,616,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
22,26872,3,8500,6,0,4,656,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
26,27097,2,1000,10,0,3,581,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
25,96778,2,20000,14,0,4,664,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
23,97783,0,20000,11,0,2,563,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
22,98255,0,20000,13,0,4,623,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
22,99459,0,20000,11,0,2,691,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
24,101201,6,20000,13,0,3,569,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
26,26764,4,3000,6,0,2,642,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
23,102232,1,20000,11,0,4,663,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
25,101849,3,20000,13,0,2,627,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
23,26678,1,4400,12,0,2,610,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
23,103275,0,20000,7,0,2,597,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
25,103166,3,20000,10,0,3,653,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
21,27289,0,1500,11,0,3,659,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
25,102975,0,20000,11,0,2,663,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
24,27558,0,4000,11,0,2,621,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
22,105649,1,20000,13,0,4,575,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
22,109017,1,20000,11,0,4,639,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
24,109178,1,20000,6,0,3,630,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
23,108836,0,20000,11,0,4,560,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
26,109089,5,20000,11,0,3,537,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
22,27472,1,7000,11,0,2,694,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
23,109061,0,20000,13,0,4,657,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
25,110319,1,20000,14,0,3,572,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
26,27309,1,3825,10,0,4,618,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
22,111365,1,20000,15,0,2,649,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
25,111834,1,20000,9,0,2,606,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
22,27122,2,2400,11,0,3,612,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
26,113057,0,20000,9,0,4,606,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
22,114267,0,20000,11,0,2,602,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
23,115130,4,20000,10,0,2,701,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
24,114976,3,20000,11,0,3,665,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
21,27648,0,7350,7,0,2,635,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
23,116295,0,20000,13,0,3,643,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
22,27385,3,7200,7,0,2,636,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
22,118565,0,20000,11,0,4,575,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
24,27463,0,3000,16,0,2,647,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
23,120368,0,20000,15,0,4,569,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
21,27493,2,4000,15,0,4,528,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
22,27178,0,8500,15,0,4,626,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
24,120691,2,20000,14,0,3,664,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
26,27124,2,7500,10,0,2,600,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
25,121016,0,20000,13,0,2,672,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
25,120866,1,20000,13,0,2,563,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
25,27635,2,7500,11,0,3,665,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
23,27475,4,6700,11,0,4,605,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
22,121236,0,20000,12,0,3,580,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
25,27780,1,6400,7,0,4,672,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
26,27364,0,5400,5,0,3,646,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
26,125803,6,20000,10,0,2,636,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
25,130715,5,20000,11,0,4,632,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
23,132975,1,20000,12,0,3,630,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
22,132809,0,20000,13,0,3,691,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
24,133069,2,20000,10,0,4,672,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
23,133031,0,20000,11,0,2,709,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
22,28529,1,2000,7,0,3,521,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
23,28372,0,4800,5,0,2,667,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
23,145007,1,20000,10,0,4,628,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,27861,0,4750,11,0,3,562,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
24,146157,0,20000,8,0,3,670,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
23,150985,0,20000,11,0,4,602,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
22,28613,0,3000,8,0,2,595,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
25,157396,3,20000,15,0,2,687,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
26,156668,3,20000,13,0,4,668,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
23,28773,0,6000,16,0,2,657,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
24,160903,0,20000,12,0,2,527,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
21,28410,0,7000,8,0,3,606,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
22,27969,0,4800,10,0,4,644,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
21,28786,0,3000,13,0,3,638,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
25,28595,2,4400,6,0,2,611,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
26,140072,0,19800,11,0,4,617,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
26,24756,8,500,11,0,2,659,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
21,23899,1,700,12,0,2,658,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
25,23980,6,750,12,0,4,645,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
22,29111,0,2400,9,0,4,668,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
21,28319,0,2400,12,0,4,628,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
22,14763,0,1000,12,0,4,540,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
22,15248,0,1000,13,0,4,547,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
23,15553,3,1000,14,0,3,602,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
25,15255,2,1000,10,0,2,611,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
21,14997,0,1000,13,0,2,669,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
23,28684,1,2000,11,0,3,591,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
21,28348,0,5000,11,0,3,506,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
24,21414,3,1000,11,0,3,619,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
22,20953,0,1000,13,0,4,665,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
24,24085,3,1000,12,0,4,655,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
24,29212,1,7000,10,0,3,607,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
22,84974,1,19000,8,0,4,589,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
23,87479,3,19000,10,0,4,671,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
24,88452,0,19000,10,0,3,653,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
23,94830,0,19000,8,0,2,642,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
22,29756,1,2500,9,0,2,592,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
26,116006,3,19000,13,0,2,663,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
24,126727,0,19000,12,0,2,582,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
22,84840,4,18750,10,0,2,661,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
24,29659,4,7100,12,0,3,641,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
23,90359,3,18500,11,0,3,697,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
25,90794,1,18500,7,0,3,608,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
22,29833,1,8000,9,0,2,592,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
21,29833,0,3000,7,0,4,642,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
22,29781,2,5000,7,0,2,598,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
23,145076,0,18400,8,0,2,674,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
25,29628,0,6000,13,0,3,636,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
22,29875,0,1300,5,0,3,687,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
25,29750,0,5800,5,0,3,639,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23,29733,0,8000,15,0,2,639,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
22,29645,0,5000,10,0,4,624,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
24,30073,2,8000,5,0,4,689,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
24,29678,1,2400,7,0,2,603,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
24,29776,4,4200,6,0,3,614,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
23,29640,3,4200,10,0,4,595,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
22,29540,0,2500,10,0,2,620,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
22,29906,0,6000,12,0,4,638,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
23,30483,0,8000,5,0,3,574,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
22,73175,0,18000,16,0,4,667,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
